Ts (degC),I (a.u.),P (W),q (slm)
3.176999999999999957e+01,9.713226909868434304e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.259000000000000341e+01,9.272096288909746800e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.421000000000000085e+01,9.275060146240609465e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.534000000000000341e+01,9.492407220112765208e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.681000000000000227e+01,9.085039442763186526e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.832000000000000028e+01,9.560593184774423717e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.932000000000000028e+01,9.681079035902254982e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.004999999999999716e+01,9.348098410996202147e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.100999999999999801e+01,9.615924680921026738e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.179999999999999716e+01,9.409069366353387013e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.267999999999999972e+01,9.755781544736819342e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.335999999999999943e+01,9.619589467105275253e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.357999999999999829e+01,9.600076790413508425e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.425999999999999801e+01,9.469313523778194794e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.479999999999999716e+01,9.605108942199231824e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.517000000000000171e+01,1.006413727020676481e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.542999999999999972e+01,9.487616513063893653e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.560000000000000142e+01,9.365701703289466677e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.603999999999999915e+01,9.720174605357135879e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.624000000000000199e+01,9.641187684304516297e+05,4.000000000000000000e+00,4.000000000000000000e+00
