Ts (degC),I (a.u.),P (W),q (slm)
5.471999999999999886e+01,1.609580128223689273e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.513000000000000256e+01,1.600388474915417377e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.564999999999999858e+01,1.591319884511281038e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.660999999999999943e+01,1.575961165968045825e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.670000000000000284e+01,1.626568352368426044e+06,3.000000000000000000e+00,1.000000000000000000e+00
