t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
8.040000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.499999999999999944e-01,0.000000000000000000e+00,1.000027999999999935e+02,1.000000000000000056e-01,1.429999999999999938e+00
4.305000000000000000e+03,5.300000000000000000e+01,6.379999999999999893e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.049999999999999822e+00,2.000000000000000000e+00,1.000027000000000044e+02,1.340000000000000080e+00,1.530000000000000027e+00
5.342000000000000000e+03,5.300000000000000000e+01,6.339999999999999858e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.069999999999999840e+00,2.000000000000000000e+00,1.000027000000000044e+02,1.340000000000000080e+00,1.550000000000000044e+00
6.354000000000000000e+03,5.300000000000000000e+01,6.200000000000000178e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.049999999999999822e+00,2.000000000000000000e+00,1.000027999999999935e+02,1.310000000000000053e+00,1.560000000000000053e+00
7.345000000000000000e+03,5.500000000000000000e+01,6.169999999999999929e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000027000000000044e+02,1.300000000000000044e+00,1.550000000000000044e+00
8.335000000000000000e+03,5.300000000000000000e+01,6.139999999999999680e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000027999999999935e+02,1.300000000000000044e+00,1.550000000000000044e+00
9.348000000000000000e+03,5.300000000000000000e+01,6.120000000000000107e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000027999999999935e+02,1.290000000000000036e+00,1.560000000000000053e+00
1.034300000000000000e+04,5.300000000000000000e+01,6.099999999999999645e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000027000000000044e+02,1.290000000000000036e+00,1.560000000000000053e+00
1.134500000000000000e+04,5.300000000000000000e+01,6.110000000000000320e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,2.000000000000000000e+00,1.000027000000000044e+02,1.290000000000000036e+00,1.550000000000000044e+00
1.234700000000000000e+04,5.300000000000000000e+01,6.089999999999999858e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,2.000000000000000000e+00,1.000026000000000010e+02,1.290000000000000036e+00,1.550000000000000044e+00
