Ts (degC),I (a.u.),P (W),q (slm)
3.250999999999999801e+01,1.526060082236847840e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.249000000000000199e+01,1.508911469802634092e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.300000000000000000e+01,1.532242915291357320e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.411999999999999744e+01,1.519494633186095394e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.482999999999999829e+01,1.506487783477441408e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.585999999999999943e+01,1.486773943900377024e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.685000000000000142e+01,1.509237666569555411e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.729999999999999716e+01,1.509980355507520959e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.795000000000000284e+01,1.543946702537597157e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.845000000000000284e+01,1.499421459783836035e+06,4.000000000000000000e+00,4.000000000000000000e+00
