Ts (degC),I (a.u.),P (W),q (slm)
3.290999999999999659e+01,1.442780002753757406e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.392999999999999972e+01,1.452523899304513820e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.556000000000000227e+01,1.442742554182327818e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.685000000000000142e+01,1.495682515573303448e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.785000000000000142e+01,1.463893605874058558e+06,4.000000000000000000e+00,1.000000000000000000e+00
