Ts (degC),I (a.u.),P (W),q (slm)
4.040999999999999659e+01,1.623002361428574659e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.321000000000000085e+01,1.650051809492476750e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.449000000000000199e+01,1.763380671964282868e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.574000000000000199e+01,1.639028871766913217e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.650999999999999801e+01,1.685416811390975490e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.796000000000000085e+01,1.625976320018800208e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.892999999999999972e+01,1.680625857969919918e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.961999999999999744e+01,1.631559236813904718e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.014000000000000057e+01,1.608757121954886941e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.117999999999999972e+01,1.634736698825190077e+06,4.000000000000000000e+00,1.000000000000000000e+00
