Ts (degC),I (a.u.),P (W),q (slm)
3.728000000000000114e+01,1.020439695253755315e+06,3.000000000000000000e+00,2.000000000000000000e+00
3.909000000000000341e+01,1.195681393928575795e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.088000000000000256e+01,1.056475322227440309e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.204999999999999716e+01,1.013650663449246436e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.336999999999999744e+01,1.012216284614662058e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.435000000000000142e+01,1.033114312077063136e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.546999999999999886e+01,1.013845297471805126e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.621999999999999886e+01,1.024229638505641022e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.715999999999999659e+01,1.024800729219921865e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.815999999999999659e+01,1.004355780197368003e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.871000000000000085e+01,1.004917139210522058e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.928999999999999915e+01,1.054387441184205702e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.960999999999999943e+01,1.043540413195488509e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.020000000000000284e+01,1.026732410300749587e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.061999999999999744e+01,1.039062968374058255e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.106000000000000227e+01,9.992806364661669359e+05,3.000000000000000000e+00,2.000000000000000000e+00
5.150999999999999801e+01,1.026285121607142966e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.195000000000000284e+01,1.019318825018796138e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.225000000000000000e+01,1.032166395112779574e+06,3.000000000000000000e+00,2.000000000000000000e+00
5.270000000000000284e+01,1.083751555883461609e+06,3.000000000000000000e+00,2.000000000000000000e+00
