Ts (degC),I (a.u.),P (W),q (slm)
3.335000000000000142e+01,1.590594441625945270e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.385000000000000142e+01,1.587370538458650932e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.479999999999999716e+01,1.598498307546997210e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.578000000000000114e+01,1.571473127142852405e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.688000000000000256e+01,1.602193151137220208e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.743999999999999773e+01,1.623454331193600316e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.829999999999999716e+01,1.632117762546998914e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.879999999999999716e+01,1.582488673703004140e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.945000000000000284e+01,1.632760917124057421e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.974000000000000199e+01,1.596795013477443019e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.027000000000000313e+01,1.617445313712410862e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.052000000000000313e+01,1.610808909473682754e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.107999999999999829e+01,1.626457238515035249e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.142999999999999972e+01,1.595816423176691169e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.189000000000000057e+01,1.626954294389098417e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.210999999999999943e+01,1.604094035695482744e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.239999999999999858e+01,1.628585894154138397e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.289000000000000057e+01,1.594083194887223653e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.309000000000000341e+01,1.612534992969922721e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.309000000000000341e+01,1.609694198543235427e+06,4.000000000000000000e+00,4.000000000000000000e+00
