t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
8.280000000000000000e+02,4.200000000000000000e+01,5.000000000000000278e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,-0.000000000000000000e+00,0.000000000000000000e+00,1.000036999999999949e+02,-0.000000000000000000e+00,1.449999999999999956e+00
3.379000000000000000e+03,5.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.709999999999999964e+00,3.000000000000000000e+00,1.000036000000000058e+02,1.679999999999999938e+00,1.620000000000000107e+00
4.428000000000000000e+03,5.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.709999999999999964e+00,3.000000000000000000e+00,1.000036000000000058e+02,1.669999999999999929e+00,1.620000000000000107e+00
5.430000000000000000e+03,5.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,3.000000000000000000e+00,1.000036999999999949e+02,1.679999999999999938e+00,1.620000000000000107e+00
6.407000000000000000e+03,5.400000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,3.000000000000000000e+00,1.000036000000000058e+02,1.689999999999999947e+00,1.590000000000000080e+00
