t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
9.750000000000000000e+02,5.500000000000000000e+01,2.999999999999999889e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,5.000000000000000278e-02,0.000000000000000000e+00,1.000011899999999940e+02,2.999999999999999889e-02,1.429999999999999938e+00
3.887000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,3.000000000000000000e+00,1.000011899999999940e+02,1.669999999999999929e+00,1.560000000000000053e+00
4.899000000000000000e+03,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.659999999999999920e+00,1.590000000000000080e+00
5.938000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.609999999999999876e+00,3.000000000000000000e+00,1.000011599999999987e+02,1.659999999999999920e+00,1.570000000000000062e+00
6.927000000000000000e+03,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.570000000000000062e+00
7.941000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.669999999999999929e+00,1.570000000000000062e+00
8.928000000000000000e+03,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011599999999987e+02,1.659999999999999920e+00,1.590000000000000080e+00
9.942000000000000000e+03,7.100000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.590000000000000080e+00
1.093900000000000000e+04,7.100000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.669999999999999929e+00,1.570000000000000062e+00
1.193900000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.293900000000000000e+04,7.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.669999999999999929e+00,1.570000000000000062e+00
1.394000000000000000e+04,7.100000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.570000000000000062e+00
1.494100000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.669999999999999929e+00,1.570000000000000062e+00
1.594000000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.000000000000000000e+00,1.000011800000000051e+02,1.669999999999999929e+00,1.580000000000000071e+00
1.694200000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.590000000000000080e+00
1.794100000000000000e+04,7.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.894100000000000000e+04,7.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.000000000000000000e+00,1.000011599999999987e+02,1.669999999999999929e+00,1.570000000000000062e+00
1.994300000000000000e+04,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,3.000000000000000000e+00,1.000011499999999955e+02,1.669999999999999929e+00,1.560000000000000053e+00
2.094300000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.570000000000000062e+00
2.194300000000000000e+04,6.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.000000000000000000e+00,1.000011700000000019e+02,1.669999999999999929e+00,1.570000000000000062e+00
