Ts (degC),I (a.u.),P (W),q (slm)
3.435999999999999943e+01,9.573729749436068814e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.432999999999999829e+01,9.495780055263185641e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.436999999999999744e+01,9.369966405733105494e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.432000000000000028e+01,9.282236967857138952e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.434000000000000341e+01,9.660253195488692727e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.445000000000000284e+01,9.427696335056391545e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.446999999999999886e+01,9.348958249906008132e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.471000000000000085e+01,9.682462415695459349e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.449000000000000199e+01,9.479578620676697465e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.445000000000000284e+01,9.221608469830795657e+05,2.000000000000000000e+00,4.000000000000000000e+00
