Ts (degC),I (a.u.),P (W),q (slm)
4.114999999999999858e+01,6.388801429229322821e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.270000000000000284e+01,8.520019339003758505e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.440999999999999659e+01,6.886393162781946594e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.538000000000000256e+01,6.454699828195450827e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.661999999999999744e+01,6.803105815319536487e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.750999999999999801e+01,6.751398453947353410e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.849000000000000199e+01,6.377099982518797042e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.913000000000000256e+01,6.435571492105252109e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.989999999999999858e+01,6.829939441353359725e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.050000000000000000e+01,6.557262103195503587e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.110999999999999943e+01,6.512421134492462734e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.171000000000000085e+01,6.554485488721800502e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.221000000000000085e+01,6.656452774906015256e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.275000000000000000e+01,6.525201691353388596e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.328000000000000114e+01,6.741746823778207181e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.353999999999999915e+01,6.779434376221827697e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.407000000000000028e+01,6.631481722556379391e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.428999999999999915e+01,6.654304409492476843e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.478000000000000114e+01,6.824715119266901165e+05,3.000000000000000000e+00,3.000000000000000000e+00
5.514000000000000057e+01,6.741015098402232397e+05,3.000000000000000000e+00,3.000000000000000000e+00
