Ts (degC),I (a.u.),P (W),q (slm)
3.788000000000000256e+01,4.052887657048885594e+05,4.000000000000000000e+00,3.000000000000000000e+00
3.834000000000000341e+01,6.364961225187951932e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.010999999999999943e+01,4.472603608082693536e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.124000000000000199e+01,4.280103168609033455e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.189999999999999858e+01,4.132390727819547756e+05,4.000000000000000000e+00,3.000000000000000000e+00
