Ts (degC),I (a.u.),P (W),q (slm)
3.724000000000000199e+01,5.211519356109016808e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.756000000000000227e+01,6.254581560902241617e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.814999999999999858e+01,5.757890317669176729e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.842000000000000171e+01,5.421098315131588606e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.892000000000000171e+01,6.311340783834591275e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.921999999999999886e+01,5.586240355827078456e+05,2.000000000000000000e+00,4.000000000000000000e+00
3.982000000000000028e+01,5.574408331860912731e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.027000000000000313e+01,5.567044267387222499e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.071999999999999886e+01,6.802160978007526137e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.134000000000000341e+01,6.631487881860899506e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.178999999999999915e+01,6.431289543609013781e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.209000000000000341e+01,5.756446576691749506e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.218999999999999773e+01,6.507609485808244208e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.250999999999999801e+01,5.974715082518775016e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.265999999999999659e+01,6.958559270018789684e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.289000000000000057e+01,6.089651400281940587e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.299000000000000199e+01,5.166627881109014852e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.292999999999999972e+01,5.462273265789489960e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.307000000000000028e+01,5.897164511278211139e+05,2.000000000000000000e+00,4.000000000000000000e+00
4.328999999999999915e+01,6.160172973214292433e+05,2.000000000000000000e+00,4.000000000000000000e+00
