Ts (degC),I (a.u.),P (W),q (slm)
3.972999999999999687e+01,9.811868171616535401e+05,3.000000000000000000e+00,2.000000000000000000e+00
4.238000000000000256e+01,1.037894917866542935e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.439000000000000057e+01,1.072623047678577015e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.582999999999999829e+01,1.020892527321428177e+06,3.000000000000000000e+00,2.000000000000000000e+00
4.732000000000000028e+01,1.028391726936088409e+06,3.000000000000000000e+00,2.000000000000000000e+00
