Ts (degC),I (a.u.),P (W),q (slm)
3.289999999999999858e+01,1.424254169830827508e+06,2.000000000000000000e+00,2.000000000000000000e+00
3.392000000000000171e+01,1.410834769906014204e+06,2.000000000000000000e+00,2.000000000000000000e+00
3.475999999999999801e+01,1.412111840103387367e+06,2.000000000000000000e+00,2.000000000000000000e+00
3.547999999999999687e+01,1.402376443392862333e+06,2.000000000000000000e+00,2.000000000000000000e+00
3.607000000000000028e+01,1.399337319360894151e+06,2.000000000000000000e+00,2.000000000000000000e+00
