Ts (degC),I (a.u.),P (W),q (slm)
3.907000000000000028e+01,5.546114950657900190e+05,2.000000000000000000e+00,3.000000000000000000e+00
3.964000000000000057e+01,6.368318046146624256e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.028999999999999915e+01,5.905801088063899660e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.075999999999999801e+01,5.664307076785713434e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.114000000000000057e+01,5.879307455639109248e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.188000000000000256e+01,5.566893980357154505e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.243999999999999773e+01,5.797408415413525654e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.300999999999999801e+01,6.154587715883462224e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.359000000000000341e+01,5.907774529229321051e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.407000000000000028e+01,5.502301353947366588e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.438000000000000256e+01,5.737320704323298996e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.467000000000000171e+01,5.687686564849609276e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.493999999999999773e+01,6.308439751409776509e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.520000000000000284e+01,6.341267612593972590e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.542000000000000171e+01,5.821345936466164421e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.592999999999999972e+01,6.274173076691719471e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.609000000000000341e+01,5.783970044830826810e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.613000000000000256e+01,5.818262588627797086e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.621999999999999886e+01,5.862886749812032795e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.665999999999999659e+01,6.246299760056379018e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.686999999999999744e+01,6.882931633646641858e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.732000000000000028e+01,6.571566471992488950e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.727000000000000313e+01,5.908681178853370948e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.740999999999999659e+01,6.368136962593981298e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.754999999999999716e+01,6.139159889943614835e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.767000000000000171e+01,6.156166961560130585e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.767000000000000171e+01,6.377189908364671282e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.796999999999999886e+01,6.202742390413536923e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.814000000000000057e+01,5.832916805921058403e+05,2.000000000000000000e+00,3.000000000000000000e+00
4.827000000000000313e+01,6.278434083552624797e+05,2.000000000000000000e+00,3.000000000000000000e+00
