Ts (degC),I (a.u.),P (W),q (slm)
3.384000000000000341e+01,1.612246860704880906e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.502000000000000313e+01,1.599477267406012630e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.632000000000000028e+01,1.636552954539470375e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.747999999999999687e+01,1.619386233750000130e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.836999999999999744e+01,1.610063387255637906e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.909000000000000341e+01,1.622252650883453200e+06,3.000000000000000000e+00,4.000000000000000000e+00
3.984000000000000341e+01,1.605991840601512464e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.070000000000000284e+01,1.634455218609020114e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.115999999999999659e+01,1.608977748242482077e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.178999999999999915e+01,1.615286107922934461e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.250999999999999801e+01,1.622308823740595952e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.313000000000000256e+01,1.593545733975564130e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.349000000000000199e+01,1.662553103486850159e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.389000000000000057e+01,1.660770847133459058e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.425000000000000000e+01,1.635144567969918950e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.454999999999999716e+01,1.643755891607142985e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.600000000000000000e+01,1.602029560009399662e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.653999999999999915e+01,1.598788287603389239e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.700999999999999801e+01,1.611155185573307797e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.729999999999999716e+01,1.660318630996237276e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.764000000000000057e+01,1.637473401005640859e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.788000000000000256e+01,1.623335949360901257e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.810999999999999943e+01,1.612065900338346604e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.867000000000000171e+01,1.647192783524439903e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.907999999999999829e+01,1.610797699539469555e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.943999999999999773e+01,1.636111086033837870e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.949000000000000199e+01,1.635660101757525932e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.972999999999999687e+01,1.652778287227444118e+06,3.000000000000000000e+00,4.000000000000000000e+00
4.996999999999999886e+01,1.651657909736846574e+06,3.000000000000000000e+00,4.000000000000000000e+00
5.000999999999999801e+01,1.630029142387222964e+06,3.000000000000000000e+00,4.000000000000000000e+00
