Ts (degC),I (a.u.),P (W),q (slm)
3.349000000000000199e+01,1.496166144163532881e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.347999999999999687e+01,1.504724497781960526e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.436999999999999744e+01,1.537003564934209920e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.567000000000000171e+01,1.494093538195487112e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.685000000000000142e+01,1.505055129248125711e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.767000000000000171e+01,1.516053799313906580e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.838000000000000256e+01,1.516248926080831327e+06,4.000000000000000000e+00,4.000000000000000000e+00
3.936999999999999744e+01,1.481225519210530445e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.010999999999999943e+01,1.535347204765037168e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.081000000000000227e+01,1.487722599981205072e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.135999999999999943e+01,1.503982424774437677e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.192999999999999972e+01,1.524258732039473252e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.242000000000000171e+01,1.499256020864662714e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.275999999999999801e+01,1.510730066052629612e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.313000000000000256e+01,1.473439172819550149e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.350000000000000000e+01,1.514427003806391731e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.378000000000000114e+01,1.514994152565788245e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.414999999999999858e+01,1.523134905338341370e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.446999999999999886e+01,1.489480095930442214e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.485000000000000142e+01,1.544051657086465508e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.495000000000000284e+01,1.473321037359020906e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.525999999999999801e+01,1.509460387020677328e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.553000000000000114e+01,1.502135002979323734e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.553000000000000114e+01,1.498457898186088540e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.572999999999999687e+01,1.517078707584585296e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.596999999999999886e+01,1.524581849154138938e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.634000000000000341e+01,1.511425821090224897e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.652000000000000313e+01,1.499308128580828896e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.660000000000000142e+01,1.508738516531955218e+06,4.000000000000000000e+00,4.000000000000000000e+00
4.696000000000000085e+01,1.503993018778189318e+06,4.000000000000000000e+00,4.000000000000000000e+00
