Ts (degC),I (a.u.),P (W),q (slm)
3.922999999999999687e+01,6.336293358270663302e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.039000000000000057e+01,9.751111560056395829e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.220000000000000284e+01,6.504574180545106065e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.314000000000000057e+01,6.492249412218034267e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.421999999999999886e+01,5.916661173778208904e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.545000000000000284e+01,6.548919941165409982e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.634000000000000341e+01,6.437549860714287497e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.718999999999999773e+01,6.403496297932316083e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.786999999999999744e+01,6.300125922180423513e+05,4.000000000000000000e+00,3.000000000000000000e+00
4.861999999999999744e+01,6.561306302537570009e+05,4.000000000000000000e+00,3.000000000000000000e+00
