t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
9.740000000000000000e+02,5.400000000000000000e+01,2.999999999999999889e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,5.000000000000000278e-02,0.000000000000000000e+00,1.000011400000000066e+02,4.000000000000000083e-02,1.419999999999999929e+00
3.256000000000000000e+03,6.500000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.129999999999999893e+00,2.000000000000000000e+00,1.000011200000000002e+02,1.370000000000000107e+00,1.560000000000000053e+00
4.280000000000000000e+03,6.400000000000000000e+01,6.820000000000000284e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.089999999999999858e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.340000000000000080e+00,1.560000000000000053e+00
5.281000000000000000e+03,6.500000000000000000e+01,6.709999999999999964e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.049999999999999822e+00,2.000000000000000000e+00,1.000011200000000002e+02,1.320000000000000062e+00,1.550000000000000044e+00
6.283000000000000000e+03,6.500000000000000000e+01,6.660000000000000142e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.310000000000000053e+00,1.550000000000000044e+00
7.285000000000000000e+03,6.600000000000000000e+01,6.610000000000000320e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.290000000000000036e+00,1.570000000000000062e+00
8.287000000000000000e+03,6.500000000000000000e+01,6.599999999999999645e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,2.000000000000000000e+00,1.000011499999999955e+02,1.290000000000000036e+00,1.570000000000000062e+00
9.288000000000000000e+03,6.400000000000000000e+01,6.580000000000000071e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000010699999999986e+02,1.290000000000000036e+00,1.550000000000000044e+00
1.029400000000000000e+04,6.500000000000000000e+01,6.570000000000000284e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.290000000000000036e+00,1.570000000000000062e+00
1.130800000000000000e+04,6.500000000000000000e+01,6.559999999999999609e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.290000000000000036e+00,1.560000000000000053e+00
1.229500000000000000e+04,6.500000000000000000e+01,6.549999999999999822e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.290000000000000036e+00,1.550000000000000044e+00
1.330500000000000000e+04,6.500000000000000000e+01,6.540000000000000036e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.280000000000000027e+00,1.560000000000000053e+00
1.429600000000000000e+04,6.400000000000000000e+01,6.530000000000000249e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.280000000000000027e+00,1.570000000000000062e+00
1.528600000000000000e+04,6.500000000000000000e+01,6.290000000000000036e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,2.000000000000000000e+00,1.000011499999999955e+02,1.280000000000000027e+00,1.560000000000000053e+00
1.629700000000000000e+04,6.500000000000000000e+01,6.549999999999999822e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.290000000000000036e+00,1.550000000000000044e+00
1.731100000000000000e+04,6.500000000000000000e+01,6.549999999999999822e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000011499999999955e+02,1.290000000000000036e+00,1.570000000000000062e+00
1.829700000000000000e+04,6.400000000000000000e+01,6.570000000000000284e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.979999999999999982e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.290000000000000036e+00,1.540000000000000036e+00
1.930900000000000000e+04,6.500000000000000000e+01,6.570000000000000284e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.290000000000000036e+00,1.570000000000000062e+00
2.030000000000000000e+04,6.500000000000000000e+01,6.559999999999999609e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,2.000000000000000000e+00,1.000011400000000066e+02,1.290000000000000036e+00,1.560000000000000053e+00
2.131600000000000000e+04,6.300000000000000000e+01,6.530000000000000249e+00,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,2.000000000000000000e+00,1.000011300000000034e+02,1.280000000000000027e+00,1.560000000000000053e+00
