Ts (degC),I (a.u.),P (W),q (slm)
3.545000000000000284e+01,9.798024518797001801e+05,2.000000000000000000e+00,1.000000000000000000e+00
3.631000000000000227e+01,1.011180412781955325e+06,2.000000000000000000e+00,1.000000000000000000e+00
3.695000000000000284e+01,9.871007349812004250e+05,2.000000000000000000e+00,1.000000000000000000e+00
3.815999999999999659e+01,9.307727865507506067e+05,2.000000000000000000e+00,1.000000000000000000e+00
3.872999999999999687e+01,9.809905817199230660e+05,2.000000000000000000e+00,1.000000000000000000e+00
3.975000000000000000e+01,9.427926693045111606e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.046000000000000085e+01,9.842244629605258815e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.089000000000000057e+01,9.911733903101519682e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.150000000000000000e+01,9.492272947274441831e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.207000000000000028e+01,9.808024765601482941e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.242000000000000171e+01,9.930146528007512679e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.285999999999999943e+01,9.527607645394722931e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.350000000000000000e+01,9.920725255827043438e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.379999999999999716e+01,9.658948654793220339e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.427000000000000313e+01,9.528732334398503881e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.478000000000000114e+01,9.946765563439826947e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.509000000000000341e+01,9.648141539097714704e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.540999999999999659e+01,1.020212786475564353e+06,2.000000000000000000e+00,1.000000000000000000e+00
4.571000000000000085e+01,9.931409185432352824e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.609000000000000341e+01,9.889434757048872998e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.645000000000000284e+01,1.023084007866539527e+06,2.000000000000000000e+00,1.000000000000000000e+00
4.674000000000000199e+01,9.620363075751883443e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.682999999999999829e+01,9.877945190413501114e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.735000000000000142e+01,1.013086471156014013e+06,2.000000000000000000e+00,1.000000000000000000e+00
4.778999999999999915e+01,9.753064059586435324e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.806000000000000227e+01,1.029513829031952657e+06,2.000000000000000000e+00,1.000000000000000000e+00
4.831000000000000227e+01,9.664099065225534141e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.853999999999999915e+01,9.952701901127804304e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.872999999999999687e+01,9.533720139191735070e+05,2.000000000000000000e+00,1.000000000000000000e+00
4.896000000000000085e+01,1.007099257612781832e+06,2.000000000000000000e+00,1.000000000000000000e+00
