Ts (degC),I (a.u.),P (W),q (slm)
3.443999999999999773e+01,6.346047232894729823e+05,0.000000000000000000e+00,0.000000000000000000e+00
3.431000000000000227e+01,6.531597513157882495e+05,0.000000000000000000e+00,0.000000000000000000e+00
3.435999999999999943e+01,6.266996255075185327e+05,0.000000000000000000e+00,0.000000000000000000e+00
3.440999999999999659e+01,6.206483551973681897e+05,0.000000000000000000e+00,0.000000000000000000e+00
3.435999999999999943e+01,6.617188440507504856e+05,0.000000000000000000e+00,0.000000000000000000e+00
