t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
9.530000000000000000e+02,4.500000000000000000e+01,2.000000000000000042e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,5.000000000000000278e-02,0.000000000000000000e+00,1.000011499999999955e+02,4.000000000000000083e-02,1.429999999999999938e+00
4.404000000000000000e+03,6.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.609999999999999876e+00,4.000000000000000000e+00,1.000011400000000066e+02,1.659999999999999920e+00,1.570000000000000062e+00
5.416000000000000000e+03,6.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.609999999999999876e+00,4.000000000000000000e+00,1.000011300000000034e+02,1.659999999999999920e+00,1.570000000000000062e+00
6.451000000000000000e+03,5.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011300000000034e+02,1.649999999999999911e+00,1.590000000000000080e+00
7.440000000000000000e+03,5.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.659999999999999920e+00,1.580000000000000071e+00
8.454000000000000000e+03,5.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,4.000000000000000000e+00,1.000010900000000049e+02,1.659999999999999920e+00,1.590000000000000080e+00
9.443000000000000000e+03,5.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011200000000002e+02,1.659999999999999920e+00,1.580000000000000071e+00
1.043700000000000000e+04,5.900000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.146400000000000000e+04,5.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.659999999999999920e+00,1.570000000000000062e+00
1.246300000000000000e+04,5.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,4.000000000000000000e+00,1.000010800000000017e+02,1.669999999999999929e+00,1.570000000000000062e+00
