t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.089000000000000000e+03,3.400000000000000000e+01,7.000000000000000666e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,-0.000000000000000000e+00,0.000000000000000000e+00,1.000040000000000049e+02,-0.000000000000000000e+00,1.439999999999999947e+00
8.767000000000000000e+03,1.890000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,3.669999999999999929e+00,4.000000000000000000e+00,1.000049999999999955e+02,5.999999999999999778e-01,6.099999999999999645e+00
9.816000000000000000e+03,2.050000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,3.609999999999999876e+00,4.000000000000000000e+00,1.000030000000000001e+02,5.899999999999999689e-01,6.099999999999999645e+00
1.080200000000000000e+04,2.100000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,3.640000000000000124e+00,4.000000000000000000e+00,1.000030000000000001e+02,5.999999999999999778e-01,6.099999999999999645e+00
1.181600000000000000e+04,2.140000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,3.790000000000000036e+00,4.000000000000000000e+00,1.000040000000000049e+02,6.199999999999999956e-01,6.099999999999999645e+00
1.280400000000000000e+04,8.310000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.810000000000000053e+00,4.000000000000000000e+00,1.000040000000000049e+02,4.600000000000000200e-01,6.099999999999999645e+00
1.381500000000000000e+04,8.270000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,4.000000000000000000e+00,1.000040000000000049e+02,4.400000000000000022e-01,6.099999999999999645e+00
1.480600000000000000e+04,8.240000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.810000000000000053e+00,4.000000000000000000e+00,1.000079999999999956e+02,4.600000000000000200e-01,6.099999999999999645e+00
2.000000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,-0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000077e-03,-0.000000000000000000e+00,1.479999999999999982e+00
5.760000000000000000e+02,3.500000000000000000e+01,2.999999999999999889e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,-0.000000000000000000e+00,0.000000000000000000e+00,1.899999999999999996e-03,-0.000000000000000000e+00,1.479999999999999982e+00
