Ts (degC),I (a.u.),P (W),q (slm)
9.931999999999999318e+01,1.425194486213342845e+07,4.000000000000000000e+00,2.000000000000000000e+00
1.351899999999999977e+02,1.633547312486840412e+07,4.000000000000000000e+00,2.000000000000000000e+00
1.618000000000000114e+02,1.479726800281022303e+07,4.000000000000000000e+00,2.000000000000000000e+00
1.703600000000000136e+02,1.157485982190797664e+07,4.000000000000000000e+00,2.000000000000000000e+00
1.705800000000000125e+02,1.750736161821420863e+07,4.000000000000000000e+00,2.000000000000000000e+00
1.718400000000000034e+02,8.192600073326965794e+06,4.000000000000000000e+00,2.000000000000000000e+00
1.730399999999999920e+02,6.237002289896672592e+06,4.000000000000000000e+00,2.000000000000000000e+00
1.738799999999999955e+02,3.188999620488716755e+05,4.000000000000000000e+00,2.000000000000000000e+00
1.685399999999999920e+02,3.328187583834587713e+05,4.000000000000000000e+00,2.000000000000000000e+00
1.662599999999999909e+02,3.385119267293239245e+05,4.000000000000000000e+00,2.000000000000000000e+00
