Ts (degC),I (a.u.),P (W),q (slm)
3.153999999999999915e+01,1.619223258552632993e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.148999999999999844e+01,1.593735933298867662e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.151999999999999957e+01,1.611544084060149733e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.157000000000000028e+01,1.632253513618421275e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.142999999999999972e+01,1.605377511569553055e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.132999999999999829e+01,1.578544994210529607e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000071e+01,1.634617701062028529e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.121999999999999886e+01,1.603127271259402856e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.132999999999999829e+01,1.593154248580827843e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.142000000000000171e+01,1.627638346748132957e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.151000000000000156e+01,1.582243902941727079e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.148999999999999844e+01,1.606906497321428033e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.139000000000000057e+01,1.654036263580827042e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.148000000000000043e+01,1.634211802894739900e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.162999999999999901e+01,1.604869984877820360e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.142000000000000171e+01,1.631075485037593869e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.133999999999999986e+01,1.613638740338341799e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.135999999999999943e+01,1.618952988270680886e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.141000000000000014e+01,1.601197561156010255e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.162000000000000099e+01,1.636775428618427133e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.185000000000000142e+01,1.616051832659775624e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.200999999999999801e+01,1.629184208994360175e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.203000000000000114e+01,1.610670325122177601e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.189999999999999858e+01,1.598484017960532336e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.207000000000000028e+01,1.602133652255642461e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.217000000000000171e+01,1.607847639050747734e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.228999999999999915e+01,1.614390298674813239e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.231000000000000227e+01,1.620151465742471395e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.238000000000000256e+01,1.587838522415413521e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.228999999999999915e+01,1.595410155451128725e+06,0.000000000000000000e+00,0.000000000000000000e+00
