Ts (degC),I (a.u.),P (W),q (slm)
4.352000000000000313e+01,6.205246763627855107e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.467000000000000171e+01,8.066864523778182920e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.582000000000000028e+01,6.303385426127808169e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.617000000000000171e+01,6.011476275563902454e+05,3.000000000000000000e+00,3.000000000000000000e+00
4.659000000000000341e+01,6.695299508458628552e+05,3.000000000000000000e+00,3.000000000000000000e+00
