Ts (degC),I (a.u.),P (W),q (slm)
3.321999999999999886e+01,1.123833353176696692e+06,4.000000000000000000e+00,2.000000000000000000e+00
3.503999999999999915e+01,1.218247237866542535e+06,4.000000000000000000e+00,2.000000000000000000e+00
3.663000000000000256e+01,1.096730935093986103e+06,4.000000000000000000e+00,2.000000000000000000e+00
3.775999999999999801e+01,1.100708490761275869e+06,4.000000000000000000e+00,2.000000000000000000e+00
3.896000000000000085e+01,1.118355883674815297e+06,4.000000000000000000e+00,2.000000000000000000e+00
4.025999999999999801e+01,1.089722878421050729e+06,4.000000000000000000e+00,2.000000000000000000e+00
4.128999999999999915e+01,1.113960111231195508e+06,4.000000000000000000e+00,2.000000000000000000e+00
4.225999999999999801e+01,1.099457905573303113e+06,4.000000000000000000e+00,2.000000000000000000e+00
4.328999999999999915e+01,1.152249181353377877e+06,4.000000000000000000e+00,2.000000000000000000e+00
4.434000000000000341e+01,1.105673259755638428e+06,4.000000000000000000e+00,2.000000000000000000e+00
