Ts (degC),I (a.u.),P (W),q (slm)
3.629999999999999716e+01,1.649371083157898393e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.784000000000000341e+01,1.686550123421051772e+06,4.000000000000000000e+00,1.000000000000000000e+00
3.917000000000000171e+01,1.808799137058273423e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.035999999999999943e+01,1.710495897941726958e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.229999999999999716e+01,1.653598706588341855e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.342000000000000171e+01,1.657076126729322132e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.457000000000000028e+01,1.689551552509402391e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.570000000000000284e+01,1.665636328139093937e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.650000000000000000e+01,1.682283449999999953e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.749000000000000199e+01,1.661609867593989242e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.839999999999999858e+01,1.711863756287591765e+06,4.000000000000000000e+00,1.000000000000000000e+00
4.903000000000000114e+01,1.636854144530077698e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.013000000000000256e+01,1.650363223928568652e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.028000000000000114e+01,1.608144147969933460e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.089999999999999858e+01,1.620888241748121800e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.106000000000000227e+01,1.635027417998123216e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.164000000000000057e+01,1.656098521917291684e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.185999999999999943e+01,1.648664118186089210e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.232000000000000028e+01,1.640007831625938881e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.281000000000000227e+01,1.635269971409775550e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.324000000000000199e+01,1.646709647678571753e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.354999999999999716e+01,1.625759266127820592e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.389000000000000057e+01,1.661250656954889186e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.432000000000000028e+01,1.662224935742473463e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.449000000000000199e+01,1.621917091973691015e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.484000000000000341e+01,1.634005096635335591e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.493999999999999773e+01,1.671030277471797075e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.520000000000000284e+01,1.607454182678569807e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.565999999999999659e+01,1.639504862819551257e+06,4.000000000000000000e+00,1.000000000000000000e+00
5.571999999999999886e+01,1.644823299078946700e+06,4.000000000000000000e+00,1.000000000000000000e+00
